County,Id2,Geography,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage - Median (dollars),Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage - Median (dollars),SMOC for housing units with and without a mortgage,Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Occupied units paying rent - Median (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
Burlington,34005703102,"Census Tract 7031.02, Burlington County, New Jersey",2.6,4.3,577,3467,209,1321,2896,99,1726,170962
Burlington,34005703103,"Census Tract 7031.03, Burlington County, New Jersey",13.3,0.8,779,1899,142,916,1747,994,1246,62403
Burlington,34005703104,"Census Tract 7031.04, Burlington County, New Jersey",2,7,1202,2284,312,781,1974,243,845,86023
Burlington,34005703201,"Census Tract 7032.01, Burlington County, New Jersey",4.9,13.4,755,1817,528,810,1403,90,939,69120
Burlington,34005703202,"Census Tract 7032.02, Burlington County, New Jersey",2,19.5,508,2591,271,909,2006,50,2109,97083
Burlington,34005703203,"Census Tract 7032.03, Burlington County, New Jersey",5.4,7.3,1074,1226,1142,622,915,74,1183,42745
Burlington,34005703600,"Census Tract 7036, Burlington County, New Jersey",1.2,20.9,1613,2164,667,891,1792,84,1778,99549
Burlington,34005703700,"Census Tract 7037, Burlington County, New Jersey",4.8,7.4,1540,2247,523,944,1917,112,983,102316
Burlington,34005703801,"Census Tract 7038.01, Burlington County, New Jersey",4.2,8.7,1619,2756,606,1047,2291,382,1370,118417
Burlington,34005703802,"Census Tract 7038.02, Burlington County, New Jersey",11,3.6,741,2335,442,1088,1869,625,1223,86199
Burlington,34005703803,"Census Tract 7038.03, Burlington County, New Jersey",9.1,19.5,1257,2204,363,1088,1954,89,2154,108958
Burlington,34005703804,"Census Tract 7038.04, Burlington County, New Jersey",5.4,7.3,1625,3155,660,1198,2590,47,0,127233
Burlington,34005703900,"Census Tract 7039, Burlington County, New Jersey",4.5,17.1,1069,2466,312,1036,2143,114,1890,105598
Burlington,34005704004,"Census Tract 7040.04, Burlington County, New Jersey",11.5,6.2,671,1990,199,853,1730,783,1172,72021
Burlington,34005704005,"Census Tract 7040.05, Burlington County, New Jersey",8.8,12.3,762,2208,314,865,1816,474,1378,79732
Burlington,34005704006,"Census Tract 7040.06, Burlington County, New Jersey",4,6.7,571,2033,164,908,1782,113,1339,92125
Burlington,34005704007,"Census Tract 7040.07, Burlington County, New Jersey",5.6,20.1,732,1997,291,832,1666,416,2087,62039
Burlington,34005704008,"Census Tract 7040.08, Burlington County, New Jersey",7.6,9.1,1046,2339,355,1105,2026,558,1508,94375
Burlington,34005704009,"Census Tract 7040.09, Burlington County, New Jersey",14.2,3.1,850,2230,179,934,2005,748,1560,89844
Burlington,34005704011,"Census Tract 7040.11, Burlington County, New Jersey",6.3,16,731,2720,310,982,2202,27,0,125977
Burlington,34005704012,"Census Tract 7040.12, Burlington County, New Jersey",8.5,0.7,1583,1885,327,983,1731,314,1607,100667
Burlington,34005704013,"Census Tract 7040.13, Burlington County, New Jersey",1.3,9.1,1354,2322,366,962,2033,21,0,111719
